Content,Science
"I leaned against the mantel, sick, sick,
Thinking of my failure, looking into the abysm,
Weak from the noon-day heat.
A church bell sounded mournfully far away,
I heard the cry of a baby,
And the coughing of John Yarnell,
Bed-ridden, feverish, feverish, dying,
Then the violent voice of my wife:
""Watch out, the potatoes are burning!""
I smelled them ... then there was irresistible disgust.
I pulled the trigger ... blackness ... light ...
Unspeakable regret ... fumbling for the world again.
Too late! Thus I came here,
With lungs for breathing ... one cannot breathe here with lungs,
Though one must breathe
Of what use is it To rid one's self of the world,
When no soul may ever escape the eternal destiny of life?",0
"I was the first fruits of the battle of Missionary Ridge.
When I felt the bullet enter my heart
I wished I had staid at home and gone to jail
For stealing the hogs of Curl Trenary,
Instead of running away and joining the army.
Rather a thousand times the county jail
Than to lie under this marble figure with wings,
And this granite pedestal Bearing the words, Pro Patria.
What do they mean, anyway?",0
"I was only eight years old;
And before I grew up and knew what it meant
I had no words for it, except
That I was frightened and told my
Mother; And that my Father got a pistol
And would have killed Charlie, who was a big boy,
Fifteen years old, except for his Mother.
Nevertheless the story clung to me.
But the man who married me, a widower of thirty-five,
Was a newcomer and never heard it
Till two years after we were married.
Then he considered himself cheated,
And the village agreed that I was not really a virgin.
Well, he deserted me, and I died
The following winter.",0
"Why should I blame her that she filled my days
With misery, or that she would of late
Have taught to ignorant men most violent ways,
Or hurled the little streets upon the great,
Had they but courage equal to desire?
What could have made her peaceful with a mind
That nobleness made simple as a fire,
With beauty like a tightened bow, a kind
That is not natural in an age like this,
Being high and solitary and most stern?
Why, what could she have done, being what she is?
Was there another Troy for her to burn?",0
"GLOOM! 
An October like November; 
August a hundred thousand hours, 
And all September, 
A hundred thousand, dragging sunlit days, 
And half October like a thousand years . . . 
And doom! 
That then was Antwerp. . . 
In the name of God, 
How could they do it? 
Those souls that usually dived 
Into the dirty caverns of mines; 
Who usually hived 
In whitened hovels; under ragged poplars; 
Who dragged muddy shovels, over the grassy mud, 
Lumbering to work over the greasy sods. . . 
Those men there, with the appearance of clods 
Were the bravest men that a usually listless priest of God 
Ever shrived. . . 
And it is not for us to make them an anthem. 
If we found words there would come no wind that would fan them 
To a tune that the trumpets might blow it, 
Shrill through the heaven that's ours or yet Allah's, 
Or the wide halls of any Valhallas. 
We can make no such anthem. So that all that is ours 
For inditing in sonnets, pantoums, elegiacs, or lays 
Is this: 
In the name of God, how could they do it? 

For there is no new thing under the sun, 
Only this uncomely man with a smoking gun 
In the gloom. . . 
What the devil will he gain by it? 
Digging a hole in the mud and standing all day in the rain by it 
Waiting his doom; 
The sharp blow, the swift outpouring of the blood, 
Till the trench of gray mud 
Is turned to a brown purple drain by it. 
Well, there have been scars 
Won in many wars . . .
Punic, 
Lacedmonian, wars of Napoleon, wars for faith, wars for honour, for love, for possession, 
But this Belgian man in his ugly tunic, 
His ugly round cap, shooting on, in a sort of obsession, 
Overspreading his miserable land, 
Standing with his wet gun in his hand . . . 
Doom! 
He finds that in a sudden scrimmage, 
And lies, an unsightly lump on the sodden grass . . . 
An image that shall take long to pass! 

For the white-limbed heroes of Hellas ride by upon their horses 
Forever through our brains. 
The heroes of Cressy ride by upon their stallions; 
And battalions and battalions and battalions 
The Old Guard, the Young Guard, the men of Minden and of Waterloo, 
Pass, for ever staunch, 
Stand, for ever true; 
And the small man with the large paunch, 
And the gray coat, and the large hat, and the hands behind the back, 
Watches them pass 
In our minds for ever . . . 
But that clutter of sodden corses 
On the sodden Belgian grass 
That is a strange new beauty. 
With no especial legends of marchings or triumphs or duty, 
Assuredly that is the way of it, 
The way of beauty . . . 
And that is the highest word you can find to say of it. 
For you cannot praise it with words 
Compounded of lyres and swords, 
But the thought of the gloom and the rain 
And the ugly coated figure, standing beside a drain, 
Shall eat itself into your brain: 
And you will say of all heroes, They fought like the Belgians! 
And you will say: He wrought like a Belgian his fate out of gloom. 
And you will say: He bought like a Belgian his doom. 
And that shall be an honourable name; 
Belgian shall be an honourable word; 
As honourable as the fame of the sword, 
As honourable as the mention of the many-chorded lyre, 
And his old coat shall seem as beautiful as the fabrics woven in Tyre. 

And what in the world did they bear it for? 
I don't know. 
And what in the world did they dare it for? 
Perhaps that is not for the likes of me to understand. 
They could very well have watched a hundred legions go 
Over their fields and between their cities 
Down into more southerly regions. 
They could very well have let the legions pass through their woods, 
And have kept their lives and their wives and their children and cattle and goods. 
I don't understand. 
Was it just love of their land? 
Oh, poor dears! 
Can any man so love his land? 
Give them a thousand thousand pities 
And rivers and rivers of tears 
To wash off the blood from the cities of Flanders. 

This is Charing Cross; 
It is midnight; 
There is a great crowd 
And no light. 
A great crowd, all black that hardly whispers aloud. 
Surely, that is a dead womana dead mother! 
She has a dead face; 
She is dressed all in black; 
She wanders to the bookstall and back, 
At the back of the crowd; 
And back again and again back, 
She sways and wanders. 

This is Charing Cross; 
It is one o'clock. 
There is still a great cloud, and very little light; 
Immense shafts of shadows over the black crowd 
That hardly whispers aloud. . . 
And now! . . That is another dead mother, 
And there is another and another and another. . . 
And little children, all in black, 
All with dead faces, waiting in all the waiting-places, 
Wandering from the doors of the waiting-room 
In the dim gloom. 
These are the women of Flanders.
They await the lost. 
They await the lost that shall never leave the dock; 
They await the lost that shall never again come by the train 
To the embraces of all these women with dead faces; 
They await the lost who lie dead in trench and barrier and foss, 
In the dark of the night. 
This is Charing Cross; it is past one of the clock; 
There is very little light. 

There is so much pain. 

And it was for this that they endured this gloom; 
This October like November, 
That August like a hundred thousand hours, 
And that September, 
A hundred thousand dragging sunlit days, 
And half October like a thousand years. . . 
Oh, poor dears!",0
"As I went up by Ovillers
 In mud and water cold to the knee,
There went three jeering, fleering spectres,
 That walked abreast and talked of me.
 
The first said, Heres a right brave soldier
 That walks the dark unfearingly;
Soon hell come back on a fine stretcher,
 And laughing for a nice Blighty.
 
The second, Read his face, old comrade,
 No kind of lucky chance I see;
One day hell freeze in mud to the marrow,
 Then look his last on Picardie.
 
Though bitter the word of these first twain
 Curses the third spat venomously;
Hell stay untouched till the wars last dawning
 Then live one hour of agony.
 
Liars the first two were. Behold me
 At sloping arms by one two three;
Waiting the time I shall discover
 Whether the third spake verity.",0
"She was a village
Of lovely knowledge
The high roads left her aside, she was forlorn, a maid 
Water ran there, dusk hid her, she climbed four-wayed.
Brown-gold windows showed last folk not yet asleep;
Water ran, was a centre of silence deep,
Fathomless deeps of pricked sky, almost fathomless
Hallowed an upward gaze in pale satin of blue.
And I was happy indeed, of mind, soul, body even
Having got given
A sign undoubtful of a dear England few
Doubt, not many have seen,
That Will Squele he knew and was so shriven.
Home of Twelfth Night Edward Thomas by Arras fallen,
Borrow and Hardy, Sussex tales out of Roman heights callen.
No madrigals or field-songs to my all reverent whim;
Till I got back I was dumb.",0
"If it were not for England, who would bear
This heavy servitude one moment more?
To keep a brothel, sweep and wash the floor
Of filthiest hovels were noble to compare
With this brass-cleaning life. Now here, now there
Harried in foolishness, scanned curiously o'er
By fools made brazen by conceit, and store
Of antique witticisms thin and bare.

Only the love of comrades sweetens all,
Whose laughing spirit will not be outdone.
As night-watching men wait for the sun
To hearten them, so wait I on such boys
As neither brass nor Hell-fire may appal,
Nor guns, nor sergeant-major's bluster and noise.",0
"Only the wanderer
 Knows England's graces,
Or can anew see clear
 Familiar faces.

And who loves joy as he
 That dwells in shadows?
Do not forget me quite,
 O Severn meadows.",0
"Little did I dream, England, that you bore me
Under the Cotswold hills beside the water meadows,
To do you dreadful service, here, beyond your borders
And your enfolding seas.
 
I was a dreamer ever, and bound to your dear service,
Meditating deep, I thought on your secret beauty,
As through a child's face one may see the clear spirit
Miraculously shining.
 
Your hills not only hills, but friends of mine and kindly,
Your tiny knolls and orchards hidden beside the river
Muddy and strongly flowing, with shy and tiny streamlets
Safe in its bosom.
 
Now these are memories only, and your skies and rushy sky-pools
Fragile mirrors easily broken by moving airs ...
But deep in my heart for ever goes on your daily being,
And uses consecrate.
 
Think on me too, O Mother, who wrest my soul to serve you
In strange and fearful ways beyond your encircling waters;
None but you can know my heart, its tears and sacrifice;
None, but you, repay.",0
