,Science,cleaned
0,0,leaned mantel sick sick thinking failure looking abysm weak noon day heat church bell sounded mournfully far away heard cry baby coughing john yarnell bed ridden feverish feverish dying violent voice wife watch potato burning smelled wa irresistible disgust pulled trigger blackness light unspeakable regret fumbling world late thus came lung breathing one breathe lung though one must breatheof use rid one self world soul may ever escape eternal destiny life
1,0,wa first fruit battle missionary ridge felt bullet enter hearti wished staid home gone jailfor stealing hog curl trenary instead running away joining army rather thousand time county jailthan lie marble figure wing granite pedestal bearing word pro patria mean anyway
2,0,wa eight year old grew knew meanti word exceptthat wa frightened told mymother father got pistoland would killed charlie wa big boy fifteen year old except mother nevertheless story clung man married widower thirty five wa newcomer never heard ittill two year married considered cheated village agreed wa really virgin well deserted diedthe following winter
3,0,blame filled dayswith misery would latehave taught ignorant men violent way hurled little street upon great courage equal desire could made peaceful mindthat nobleness made simple fire beauty like tightened bow kindthat natural age like high solitary stern could done wa another troy burn
4,0,gloom october like november august hundred thousand hour september hundred thousand dragging sunlit day half october like thousand year doom wa antwerp name god could soul usually dived dirty cavern mine usually hived whitened hovel ragged poplar dragged muddy shovel grassy mud lumbering work greasy sod men appearance clod bravest men usually listless priest god ever shrived u make anthem found word would come wind would fan tune trumpet might blow shrill heaven thats yet allah wide hall valhalla make anthem inditing sonnet pantoums elegiacs lay name god could new thing sun uncomely man smoking gun gloom devil gain digging hole mud standing day rain waiting doom sharp blow swift outpouring blood till trench gray mud turned brown purple drain well scar many war punic lacedmonian war napoleon war faith war honour love possession belgian man ugly tunic ugly round cap shooting sort obsession overspreading miserable land standing wet gun hand doom find sudden scrimmage lie unsightly lump sodden grass image shall take long pas white limbed hero hellas ride upon horse forever brain hero cressy ride upon stallion battalion battalion battalion old guard young guard men minden waterloo pas ever staunch stand ever true small man large paunch gray coat large hat hand behind back watch pas mind ever clutter sodden corse sodden belgian grass strange new beauty especial legend marching triumph duty assuredly way way beauty highest word find say praise word compounded lyre sword thought gloom rain ugly coated figure standing beside drain shall eat brain say hero fought like belgian say wrought like belgian fate gloom say bought like belgian doom shall honourable name belgian shall honourable word honourable fame sword honourable mention many chorded lyre old coat shall seem beautiful fabric woven tyre world bear dont know world dare perhaps like understand could well watched hundred legion go field city southerly region could well let legion pas wood kept life wife child cattle good dont understand wa love land oh poor dear man love land give thousand thousand pity river river tear wash blood city flanders charing cross midnight great crowd light great crowd black hardly whisper aloud surely dead womana dead mother ha dead face dressed black wanders bookstall back back crowd back back sway wanders charing cross one oclock still great cloud little light immense shaft shadow black crowd hardly whisper aloud another dead mother another another another little child black dead face waiting waiting place wandering door waiting room dim gloom woman flanders await lost await lost shall never leave dock await lost shall never come train embrace woman dead face await lost lie dead trench barrier fo dark night charing cross past one clock little light much pain wa endured gloom october like november august like hundred thousand hour september hundred thousand dragging sunlit day half october like thousand year oh poor dear
5,0,went ovillers mud water cold knee went three jeering fleering spectre walked abreast talked first said right brave soldier walk dark unfearinglyn hell come back fine stretcher laughing nice blighty second read face old comrade kind lucky chance seene day hell freeze mud marrow look last picardie though bitter word first twain curse third spat venomously hell stay untouched till war last dawning live one hour agony liar first two behold sloping arm one two three waiting time shall discover whether third spake verity
6,0,wa villageof lovely knowledgethe high road left aside wa forlorn maid water ran dusk hid climbed four wayed brown gold window showed last folk yet asleep water ran wa centre silence deep fathomless deep pricked sky almost fathomlesshallowed upward gaze pale satin blue wa happy indeed mind soul body evenhaving got givena sign undoubtful dear england fewdoubt many seen squele knew wa shriven home twelfth night edward thomas arras fallen borrow hardy sussex tale roman height callen madrigal field song reverent whim till got back wa dumb
7,0,england would bearthis heavy servitude one moment keep brothel sweep wash floorof filthiest hovel noble comparewith brass cleaning life thereharried foolishness scanned curiously oerby fool made brazen conceit storeof antique witticism thin bare love comrade sweetens whose laughing spirit outdone night watching men wait sunto hearten wait boysas neither brass hell fire may appal gun sergeant major bluster noise
8,0,wanderer know england grace anew see clear familiar face love joy dwells shadow forget quite severn meadow
9,0,little dream england bore meunder cotswold hill beside water meadow dreadful service beyond bordersand enfolding sea wa dreamer ever bound dear service meditating deep thought secret beauty child face one may see clear spirit miraculously shining hill hill friend mine kindly tiny knoll orchard hidden beside rivermuddy strongly flowing shy tiny streamletssafe bosom memory sky rushy sky poolsfragile mirror easily broken moving air deep heart ever go daily us consecrate think mother wrest soul serve youin strange fearful way beyond encircling water none know heart tear sacrifice none repay
